"","bias","var","MSE"
"Correct_IPW",0.001,0.003,0.003
"Wrong_IPW",0.342,0.007,0.124
"OLS.ia",0,0.002,0.002
"OLS",0,0.002,0.002
"Naive",0.611,0.006,0.38
