"","bias","var","MSE"
"Correct_IPW",0,0.003,0.003
"Wrong_IPW",0.242,0.007,0.065
"OLS.ia",-0.1,0.002,0.012
"OLS",-0.1,0.002,0.012
"Naive",0.511,0.006,0.268
