"","Estimate","SE","pvalue"
"ATE",0.0251508673365762,0.0152177378161894,0.0983850831810467
"theta_1",0.00346328958977765,0.0174193781751143,0.842404950758231
"theta_0",0.0115383317448609,0.0165149965387226,0.484765889981581
"delta_t1",-5.16674241593672e-05,0.000367151620494014,0.888087167876751
"delta_t0",-5.19408308908219e-06,0.000502926583028549,0.991759821069953
"delta_p1",-3.74460624113145e-05,0.000846072923936121,0.964698215862358
"delta_p0",-0.000266686582426615,0.000953091137147189,0.779621547292872
