"","method","ATE","theta_1.theta_1","theta_0.theta_0","delta_t1.delta_t1","delta_t0.delta_t0","delta_p1.delta_p1","delta_p0.delta_p0","delta_f1.delta_1"
"1","probit",0.0122747747747747,-0.0132595837218044,0.0133366799076228,-9.9024771482127e-05,-6.17933443953137e-05,0.000817104335712321,0.000687643148421052,-0.000160813617615415
"2","lasso",0.0122747747747747,-0.0108393166825866,0.0146883827574314,-6.74264773969333e-05,-8.02106054092387e-05,0.00151983677959967,3.19895944964716e-05,0
"3","rf",0.0122747747747747,-0.000538959983547083,0.0180646281556965,5.1669002315611e-05,-0.00196938687602007,-0.0364328947214955,0.00844839138157627,-0.0108105898719959
"4","gbm",0.0122747747747747,-0.0114539558114748,0.00673485780646432,0.000719670143756843,-0.000978977874285587,0.00263006911273948,0.00335001178347484,-0.00174820032825696
