"","Estimate","SE","pvalue"
"ATE",0.0122747747747747,0.0137368836408292,0.371555601574006
"theta_1",-0.0132595837218044,0.015978392637033,0.406626619791798
"theta_0",0.0133366799076228,0.0172134631903049,0.438468539791087
"delta_t1",-9.9024771482127e-05,0.000390760068831553,0.799946927268717
"delta_t0",-6.17933443953137e-05,0.000501772143036811,0.901988152631605
"delta_p1",0.000817104335712321,0.000790361320587166,0.301212631953689
"delta_p0",0.000687643148421052,0.000798922756119359,0.389396168466321
