"","method","ATE","theta_1.theta_1","theta_0.theta_0","delta_t1.delta_t1","delta_t0.delta_t0","delta_p1.delta_p1","delta_p0.delta_p0","delta_f1.delta_1"
"1","probit",0.0251508673365762,0.00346328958977765,0.0115383317448609,-5.16674241593672e-05,-5.19408308908219e-06,-3.74460624113145e-05,-0.000266686582426615,-6.33457623469843e-05
"2","lasso",0.0251508673365762,0.00573336290621995,0.010513786691933,-7.24462657794172e-05,1.68111563724295e-06,0.00233887933880638,-0.00189103301771092,0.000198465396084069
"3","rf",0.0251508673365762,0.0214881276643408,0.0187404947330336,-0.00129399748705812,0.00410785750522908,-0.022249700208543,-0.00134097344223629,-0.00845842880957679
"4","gbm",0.0251508673365762,0.0117490932741364,0.0221464531785335,6.01440905613141e-05,0.00208904517596126,-0.00451820717144584,0.00169908911871436,-8.48197438130174e-05
