"","bias","var","MSE"
"Correct_IPW",0.002,0.007,0.007
"Wrong_IPW",0.392,0.012,0.166
"OLS.ia",0,0.005,0.005
"OLS",-0.125,0.003,0.019
"Naive",0.547,0.009,0.308
